"filename", "language", "Python", "comment", "blank", "total"
"c:\ProgrammingProjects\3dRendere\game.py", "Python", 1, 0, 1, 2
"c:\ProgrammingProjects\3dRendere\main.py", "Python", 0, 0, 2, 2
"c:\ProgrammingProjects\3dRendere\menu.py", "Python", 25, 0, 4, 29
"c:\ProgrammingProjects\3dRendere\renderer.py", "Python", -2, 2, 0, 0
"Total", "-", 24, 2, 7, 33
